title;summary
Дабатский водопад;"Дабатский водопад — водопад на реке Дабата, левом притоке реки Тиссы, впадающей в Оку, в Окинском районе республики Бурятия. Находится в 25 километрах от поселка Орлик.
Водопад каскадный, двухступенчатый, находится в 2—3 км от устья р. Дабата и формируется на отвесных уступах Окинского плоскогорья.
Максимальная высота свободного падения воды — 84 (85) метра. Общая высота водопада 1200 м.
Дабатский водопад хорошо виден с места впадения Дабата в Тиссу."
Девичьи Косы;Девичьи Косы (карач.-балк. Чыранбаши-суу) — водопад в верховьях Баксанского ущелья, расположенный на левом притоке реки Гарабаши — Чыранбаши-су, на высоте около 2800 метров над уровнем моря.
Дёда-Фаллет;Дёда-Фаллет (швед. Döda Fallet, «мёртвый водопад») — бывший водопад на реке Индальсэльвен, пересохший в 1796 году в результате изменения русла реки. Расположен в шведской провинции Емтланд, примерно в 10 километрах юго-востоку от города Хаммарстранд, рядом с шоссе 87.
Деттифосс;"Де́ттифосс (исл. Dettifoss [ˈtɛhtɪfɔs]) — водопад на реке Йёкюльсау-ау-Фьёдлюм в северо-восточной Исландии, на территории национального парка Йёкюльсаургльювюр. Считается самым мощным водопадом Европы.
Находится в одном км ниже по течению от водопада Сельфосс и 2 км выше по течению от водопада Хафрагильсфосс (исл. Hafragilsfoss).
Ширина Деттифосса — около 100 м, высота — 44 м (на 9 м меньше Ниагарского водопада), средний расход воды — 193 м³/сек, во время паводков — до 600 м³/сек.
Водопад показан в фильме Ридли Скотта «Прометей» в одной из главных сцен."
Джермукский водопад;"Джермукский водопад (арм. Ջերմուկի ջրվեժ) — второй по высоте водопад Армении, уступающий Касахскому водопаду. Высота водопада составляет 68 метров, расположен в марзе Вайоц-Дзор.
На территории Армянского нагорья, в особенности в кавказской его части, насчитывается несколько сотен подобных источников. Нередко это целые комплексы, и один из них — Джермукский, расположенный на абсолютных высотах 1700—2200 метров.
Из различных источников джермукского водопада производят высококачественную минеральную воду Джермук."
Джур-Джур;Джур-Джур (крымскотат. Cür-Cür, укр. Джур-Джур) — самый полноводный водопад Крыма, расположен на территории Алуштинского региона в окрестностях села Генеральского, в ущелье Хапхал, образовавшемся в результате действия вод реки Улу-Узень Восточный на высоте 468 м над уровнем моря. Река Улу-Узень спускается со стометровой высоты по трёхкаскадному порогу. С известнякового уступа, высота которого 15 метров, широким пятиметровым потоком вода обрушивается в глубокий котлован и бурно стремится вниз по руслу реки. Джур-Джур — самый мощный водопад в Крыму: его средний многолетний расход воды составляет 270 литров в секунду. Он не иссякает даже в самое сухое время года.
Джуринский водопад;"Джуринский (Червоноградский) водопад — водопад на реке Джурин в Залещицком районе Тернопольской области Украины. Высота водопада — 16 метров. Джуринский водопад является наибольшим равнинным водопадом Украины.
Расположен между сёлами Нырков и Устечко вблизи развалин исчезнувшего города Червонограда.
Возле водопада находятся развалины существовавшей в прошлом водяной мельницы."
Джурла ;"Джурла — водопад на реке Джурла (другие названия Алака, Сотера, Биюк-Дере) в одноимённом урочище в Крымских горах. Водопад представляет собой серию невысоких каскадов общей высотой около 6 м. Неподалёку расположен вход в одноимённую пещеру.
Находится на юго-востоке горного массива Демерджи на высоте 820 метров над уровнем моря, к югу от горы Еркян-Кая. Ниже водопада по течению реки находится водопад Гейзер.
Название по одной из версий является звукоподражанием струящейся по каскадам воде («жур-жур»), по другим имеет армянское («водная») или иранское («бегущая вода», «бегущая») происхождение."
Диньянди;"Диньянди (исл. Dynjandi) или Фьядльфосс — водопад на реке Диньяндисау, крупнейший водопад в регионе Вестфирдир на северо-западе Исландии.
В переводе с исландского название водопада означает ревущий, бешеный.
Представляет собой систему водопадов общей высотой около 100 м. Ширина водопада достигает 30 м. Летом расход воды составляет от 2 до 8 м³/с.
С 1981 г водопад и его окрестности являются природоохранной зоной.
Чуть ниже большого водопада Фьядльфосс находится несколько меньших водопадов: Hundafoss, Göngufoss, Háifoss, Úðafoss, Bæjarfoss. Почти сразу после водопадов река Диньяндисау впадает в Боргар-фьорд (рукав залива Аднар-фьорд). У устья реки расположено место для кемпинга.
Подстилающие породы водопада состоят из чередующихся лавы и осадочных слоев. Древнейшие слои лавы имеют возраст 13-14 млн лет.
Водопад находится недалеко от Дороги 60 (Вестфьярдарвегюр) и в 73 км от города Патрексфьордюр (исл. Patreksfjörður). Туризм в данной местности только начинает развиваться."
Донские водопады;Донские водопады, также Волченские водопады — водные объекты, которые расположены вблизи посёлка Углеродовского Ростовской области. Один из водопадов носит название «Косы», другой «Две слезы». Располагаются водопады на территории бывшего Замчаловского карьера.
Дэтянь;"Дэтянь (кит. трад. 板約瀑布, 德天瀑布, пиньинь Détiān pùbù, Bǎnyuē pùbù, палл. Дэтянь пубу, Баньюэ пубу; тхак Банзёк (вьетн. Thác Bản Giốc)), известный во Вьетнаме как Банзёк, — это два 30-метровых водопада на границе двух государств, Китая и Вьетнама. Во время половодья они сливаются в один."
Дюденские водопады;Дюде́нские водопа́ды (тур. Düden Şelalesi) — каскад водопадов в черте города Антальи, провинция Анталья, Турция. Каскад формируется рекой Дюден — одной из рек на юге Анатолии.
Еловарник;"Еловарник (серб. Јеловарник) — водопад в Сербии.
Высота — 71 м, это высочайший водопад страны. Расположен Еловарник в национальном парке Копаоник на высоте около 1500 м в 2,5 км восточнее Пика Панчича и в 25 км к юго-западу от города Брус. Состоит из трёх каскадов. Водопад описан лишь в 1998 году, хотя давно был известен среди местных жителей.
Находится водопад в труднодоступной лесистой местности (бук, ель, клён), площадью около 57 га, в которой обитают болотная гаичка (Parus palustris), обыкновенный жулан (Lanius collurio), белая трясогузка (Motacilla alba), крапивник (Troglodytes troglodytes) и снегирь (Pyrrhula pyrrhula)."
Женецкий водопад;"Жене́цкий водопад (Жене́цкий Гук; укр. Жене́цький водоспад) — водопад в Украинских Карпатах. Расположен на реке Женец (левый приток Прута), между массивами хребтов Яворника и Хомяка-Синяка (горный массив Горганы), неподалёку от сёл Микуличин и Татаров (Яремчанская городская община, Надворнянский район, Ивано-Франковская область).
Водопад расположен на расстоянии около 5 километров от трассы Микуличин-Ворохта на территории Карпатского национального природного парка.
Маршрут к водопаду начинается возле усадьбы Женецкого природоохранного научно-исследовательского отделения и проходит по лесной дороге вдоль реки Женец. Неподалеку от усадьбы есть два источника с чистой холодной водой и беседка, с которой открывается вид на присёлок Микуличина — Пидлиснив.
По дороге к водопаду можно встретить лису, белку карпатскую. Среди пресмыкающихся встречается гадюка обыкновенная, а из земноводных — саламандра пятнистая.
Женецкий водопад Гук (не путать с Говерлянским водопадом Гук, расположенным на реке Прут) находится на высоте 900 м над уровнем моря, он образовался в середине XX века в результате наводнения, вызвавшего обвал горных пород. Высота водопада — 15 м. Вода свободно падает с горы мощным потоком. Местные жители назвали водопад Гуком из-за шума и гула, который он издаёт.
Благодаря постоянному увлажнению и брызгам водопада, растительность здесь буйная и разнообразная. Широкие округлые листья раскинул белокопытник белый. У воды можно увидеть незабудку болотную, смолку белую, калужницу болотную, гравилат городской, герань Роберта и белозор болотный.
В июле 2020 асфальтированная дорога к водопаду была разрушена наводнением. Подъезд на автомобилях затруднён до сих пор."
Жигаланские водопады;"Жигаланские водопады — каскад из пяти водопадов на реке Жигалан в Красновишерском районе Пермского края России, Северный Урал.
Расположены на участке длиной 550 м. Поток верхнего водопада низвергается с высоты 10 м, нижнего — 15 м.
Вероятный перевод названия с тюркского — егылдан (жигалдан) — падающий, упавший.
Популярный туристический маршрут"
Зейгалан;"Зейгалан (осет. Зӕйгӕлӕн — «место падения лавины») или Большой Зейгеланский — водопад в России. Высота водопада 648 метров (по результатам измерений 2016 года). Водопад находится в Северной Осетии, в долине реки Мидаграбиндон, в семи километрах к югу от селения Джимара.
Водопад находится высоко в горах, и поэтому имеет пульсирующий характер. Наибольший сток приходится на июль-август. В холодное время года таяние ледника, залегающего на высотах около 4000 м над уровнем моря, практически прекращается, и на месте водопада остаются только ледовые натеки на скалах. В весенний и летний периоды с окончания ледника Зейгалан могут происходить обвалы."
Ивановский водопад;"Ивановский водопад — водопад на реке Псахо в Краснодарском крае. Высота падения воды 10 м. При падении образует небольшое озеро, температура воды в котором даже в жаркие дни не поднимается выше 15 градусов по Цельсию. Объект Сочинского национального парка.
Из-за густой растительности в крон деревьев водопад всегда находится в полумраке: солнце сквозь кроны деревьев до него просто не пробивается.
Ивановский водопад необорудован и путь к нему занимает около четырёх километров через лес."
Игуасу (водопады);"Водопа́ды Игуасу́ (исп. Cataratas del Iguazú, порт. Cataratas do Iguaçu) — комплекс из 275 водопадов на реке Игуасу, расположенный на границе Бразилии (штат Парана) и Аргентины (провинция Мисьонес). Водопады находятся на границе аргентинского и бразильского национальных парков «Игуасу». Оба парка были включены в список Всемирного наследия ЮНЕСКО (в 1984 и 1986 годах, соответственно).
Название Iguazú (Игуасу) происходит от слов на языке гуарани y (вода) и guasu (большой)."
Ильинский водопад;Ильинский — водопад в Тетюшском районе Татарстана.
Илья Муромец ;"Илья́ Му́ромец — водопад на полуострове Медвежий острова Итуруп (Курильский район, Сахалинская область России), один из самых высоких в стране. Расположен близ мыса Илья Муромец, на ручье, стекающем с северо-восточного склона горы Демон, срывающемся с отвесного обрыва в океан (высота падения воды — 141 м).
Водопад находится в крайне труднодоступном месте; его свободный осмотр возможен лишь со стороны океана."
Иматранкоски (водоскат);И́матранкоски (фин. Imatrankoski) — водоскат в Финляндии, на реке Вуокса, в 7 км от её истока из озера Сайма. Находится в городе Иматра, район Иматранкоски.
Имёнсу-Пхокпхо;"Имёнсу-Пхокпхо (кор. 리명수폭포?, 鯉明水瀑布?) — родниковый водопад на правом берегу реки Имёнсу; памятник природы в рабочем посёлке Имёнсу уезда Самджиён провинции Янгандо, КНДР. Расположен в предгорьях в 700 м к северо-западу от железнодорожной станции Имёнсу. Представляет собой грунтовые воды, текущие вдоль щелей базальтовой скалы по направлению к реке. Высота водопада — 15 м, ширина — 27 м. Состоит из пяти потоков, растекающихся на десятки более мелких. Скала, по которой течёт водопад, имеет двухступенчатую форму. Высота верхней ступени — 7 м, высота нижней — 8 м.
Имёнсу-Пхокпхо известен как подземный водопад. Он висит на береговом утёсе по правую сторону обрывистого ущелья, образовавшегося вследствие эрозии рекой Имёнсу толстых слоёв докембрийского базальта, изверженного в конце третичного — начале четвертичного периода кайнозойской эры. Грунтовые воды текут между базальтовыми расслоениями, достигнув утёса, они образуют водопад. 5 основных потоков текут вниз, между ними брызжут бисерообразные потоки поменьше. Вода основных струй, ударяясь о каменный выступ и разлетаясь бисерообразными каплями, то разделяется на малые струи, то снова сливается в один поток и впадает в затон на реке Имёнсу.
Общий вид водопада выглядит как совокупность разнообразных водопадов в миниатюре. Вместе с оголёнными чёрными скалами, хрустально чистой водой пруда под водопадом и окружающими его лесами они создают живописные виды, разнящиеся в зависимости от времени года.
Весенний цвет азалий, летний зелёный лес и осенняя жёлтая листва отражаются в водопаде и пруде. В ясный день брызги воды, разлетающиеся от водопада, в результате преломления солнечного света создают эффект радуги. Зимой водопад частично замерзает, незамёрзшая вода течёт по наледям. От вытекающей из-под земли воды и холодного воздуха образуется туман и деревья покрываются инеем.
В январе 1980 года водопад Имёнсу-Пхокпхо был зарегистрирован Национальным союзом охраны природы КНДР как Природный памятник № 345, редкий подземный водопад, имеющий большое эстетическое значение. Над водопадом построен бельведер."
Индек-Чокрак;"Инде́к-Чокра́к (крымскотат. Endek Çoqraq, Эндек Чокъракъ) — источник в Крыму, на северо-западных отрогах Демерджи, к югу от г. Пахкал-Кая, близ перевала МАН.
Название означает в переводе с крымскотатарского «родник с канавой» (endek — «ров», «канава»; çoqraq — «родник», «источник»). Находится на высоте 925 над у. м. Бассейн реки Демерджи. Температура воды в среднем 3,5 градуса по Цельсию.
По юго-восточному склону Эльх-Кая проходит дорога, по которой проложен один из самых популярных маршрутов № 128 Ангарский перевал— перевал МАН."
Йеллоустонские водопады;Йеллоустонские водопады (англ. Yellowstone Falls) — парный водопад, расположенный в округе Парк (штат Вайоминг, США) на реке Йеллоустон в Йеллоустонском национальном парке. Расстояние между ними составляет около 750 метров (по руслу реки).
Йоавески ;"Йоавески — водопад в Эстонии, находящийся на границе уездов Харьюмаа и Ляэне-Вирумаа в одноимённой деревне. Водопад находится на реке Лообу.
В 1898 году на реке была построена гидроэлектростанция, которая снабжала энергией новую бумажную фабрику. Материалом для строительства послужил плитняк, добытый из русла Лообу. Использование материала из русла реки привело к тому, что водопад, высота которого ранее достигала 4 м, превратился в каскад из шести уступов высотой 0,5-1,1 м, расположенных на глубине 160 м[уточнить].
У водопада Йоавески на поверхность выходят ордовикские породы."
Йосемите ;"Йосе́мите (Йосе́митский водопад; англ. Yosemite Falls) — один из наиболее высоких водопадов в Северной Америке. Он расположен в Йосемитском национальном парке в Калифорнии. Йосемитский водопад занимает 20-е место по высоте среди самых высоких водопадов мира.Совокупная высота водопада составляет 739 м. Своей высотой он обязан процессу избирательного выветривания. Йосемитский водопад разделён на три сегмента. Это обусловлено тем, что две горизонтальные системы трещин скальной породы пересекаются с вертикальной системой трещин. Одна горизонтальная система находится у основания верхнего водопада, другая — у нижнего. Таким образом, вертикальная нестабильная система, образующая трещины, взаимодействует с горизонтальной, образующей террасы. Высота верхнего водопада Аппер-Йосемите составляет 435 метров. Он питается от ручья Йосемите-Крик. Высота среднего и нижнего водопадов составляет, соответственно, 206 и 98 м. В зимний период расход воды верхнего водопада может значительно снижаться. Период минимального расхода воды у нижнего водопада длится с конца июля — августа по октябрь; наибольший расход приходится на весну и начало лета.
Водопад является популярной туристической достопримечательностью.Неподалёку от водопада находится могила Галена Кларка — первого рейнджера и фактически основателя Йосемитского национального парка."
Кабарега ;"Кабаре́га (бывшее название Мерчисон-Фолс; англ. Kabarega Falls, Murchison Falls) — водопад в нижнем течении реки Виктория-Нил в Уганде, расположенный в 32 км к востоку от озера Мобуту-Сесе-Секо.
Река Виктория-Нил (часть Белого Нила от истока из озера Виктория до впадения в Мобуту-Сесе-Секо) преодолевает на своём пути многочисленные пороги, пока не попадает в узкий каньон шириной около 6 м. Здесь река образует каскад из трёх водопадов с общим перепадом высот 120 м. Первый из них, высотой 43 м, и носит название Кабарега.
Водопад был открыт в 1864 году английским путешественником Сэмюэлем Бейкером, который назвал его Мерчисон-Фоллс в честь выдающегося шотландского геолога Родерика Мерчисона. В 1972 году водопад был переименован в Кабарега в честь правителя государства Уньоро в 1870—1899 годах, лидера вооружённого сопротивления английскому вторжению, национального героя Уганды Кабарега Чва II."
Кайетур;Кайету́р — водопад, расположенный на реке Потаро в западной Гайане, недалеко от границы с Венесуэлой. Это один из крупнейших водопадов в мире. Его высота составляет 226 метров — примерно в 5 раз выше Ниагарского водопада и в 2 раза выше водопада Виктория. Расположен в одноимённом национальном парке.
Каламбо;"Кала́мбо (англ. Kalambo Falls) — водопад на реке Каламбо (впадает в озеро Танганьика), на границе Замбии и Танзании.
Высота водопада достигает 427 м. Популярный туристический объект.
Археологами близ водопада обнаружены многослойные стоянки ряда культур (санго, лупембе, магозийская, уилтонская). Древнейшие из них относятся к эпохе раннего палеолита (ашельская культура)."
Камышлинский водопад;Камышли́нский водопа́д — водопад в Шебалинском районе Республики Алтай на реке Камышла (левый приток Катуни), вблизи её устья.
Каракол ;"Каракол (порт. Cascata do Caracol) — водопад в Южной Бразилии на территории одноимённого парка на реке с тем же названием.
Водопад расположен на территории микрорегиона Грамаду-Канела близ города Канелы в штате Риу-Гранди-ду-Сул.
Водопад находится в лесу, падая с базальтовой скалы с высоты 131 м. Это не самый высокий или мощный водопад страны, но близость крупных городов, доступность и живописная местность делает его популярным среди туристов. К основанию водопада построена лестница с 927 ступеньками, многие желающие взбираются на холм, чтобы посмотреть на водопад и сверху.
За несколько дней до посещения водопада Министерство здравоохранения Бразилии рекомендует сделать прививку от жёлтой лихорадки."
Карбе;"Карбе́ (фр. Chutes du Carbet) — серия водопадов на реке Гранд-Карбе в Гваделупе, Заморском департаменте Франции. Расположены на Наветренных островах на востоке Вест-Индийского региона. Это три каскада водопадов среди тропического леса на нижних склонах вулкана Суфриер. Водопады являются самой знаменитой туристической точкой в Гваделупе, собирая примерно 400 000 человек ежегодно.
В 1493 году Христофор Колумб отметил водопады Карбе в своём журнале."
Карера;Карера — серия водопадов в юго-восточной части Бурунди. Они расположены к югу от Рутаны. Водопады занимают более 142 гектаров.
Карловский водопад;Карловский водопад, Сучурум (болг. Карловски водопад) — водопад в центральной части Балканских гор. Расположен на реке Стара, перед её попаданием в город Карлово, возле электростанции им. Васила Левского. Высота падения воды — около 8 метров, высота местности — около 480 метров над уровнем моря. «Сучурум» в переводе означает «летающая вода». До водопада проложена асфальтовая дорога.
Карпысакский водопад;Карпысакский водопад — водопад искусственного происхождения в Тогучинском районе Новосибирской области, вытекающий из запруды через повреждённую дамбу в точке слияния рек Буготак и Карпысак. Высота — около 4 м.
Касахский водопад;Касахский водопад (арм. Քասախի ջրվեժ) — ныне не существующий водопад в Арагацотнской области Армении, возле села Оганаван, напротив села Карби и монастыря Ованаванк. Вода сбрасывалась из Арзни-Шамирамского канала на левый склон ущелья реки Касах. Водопад высотой 70 метров был самым высоким в Армении. После постройки мини-ГЭС водопад существует только весной, при сбросе излишней воды.
Каскад водопадов на реке Шинок;Каскад водопадов на реке Шинок — памятник природы, комплексный заказник краевого значения в Солонешенском районе Алтайского края. Заказник расположен в 10 км к юго-западу от села Тог-Алтай.
Каскады Карфигуэла;"Каскады Карфигуэла или Каскады Банфора (фр. Cascades de Karfiguéla) — система водопадов в Буркина-Фасо.
Каскады Карфигуэла находятся на реке Комоэ, которая здесь ниспадает со сложенной из песчаника горной цепи Банфора на равнину. Эти водопады находятся в буркинийской области Каскады (которая обязана им своим названием), приблизительно в 12 километрах западнее города Банфора. Водопады окружены полями с сахарным тростником, манговыми и хлопковыми деревьями. Для защиты уникальной природной среды вокруг водопадов создан заповедник Водопады Карфигуэла (по названию близлежащей деревни).
Каскады являются одним из важнейших и наиболее посещаемых туристических объектов Буркина Фасо."
Кбал Чхай;"Кбал-Чхай— водопад в Камбодже, расположенный в 7 км севернее от Кампонгсаома. Находится на реке Тыксап, впадающей в Сиамский залив.
До 1963 года являлся источником питьевой воды для Кампонгсаома, пока не стал лагерем для Красных Кхмеров. Позднее контроль над водопадом был возвращён правительству, а вода вновь используется для снабжения близлежащего города.
Является популярным местом отдыха у местного населения."
Кейва;"Ник Кейв (англ. Nick Cave, полное имя Ни́колас Э́двард Кейв, англ. Nicholas Edward Cave; 22 сентября 1957) — австралийский рок-музыкант, поэт, писатель, автор музыки к фильмам, сценарист. Лидер групп Nick Cave and the Bad Seeds, Grinderman, The Birthday Party, Boys Next Door."
Кейла ;"Кейла — водопад в Эстонии в волости Кейла уезда Харьюмаа на реке Кейла в посёлке Кейла-Йоа. Высота водопада составляет 6 метров, ширина — 70 метров; по своей мощности этот водопад уступает только водопадам Нарва и Ягала.
Недалеко от водопада находится парк, а в 1833 году по проекту Андрея Ивановича Штакеншнейдера была построена мыза Кейла-Йоа, принадлежавшая Александру фон Бенкендорфу. Позднее стала известна как замок Фалль (Schloss Fall). Дорога из парка к водопаду проходит вдоль русла реки через два моста.
У местных жителей есть традиция посещать водопад в день свадьбы, где они прикрепляют замки к перилам моста со своими именами, после чего ключ от замка бросают в водопад."
Кивач;Кивaч— водопад на реке Суна в Республике Карелия.
Кинзелюкский водопад;"Кинзелюкский водопад или Сурунцинский водопад — водопад в России.
Находится на востоке Курагинского района Красноярского края, близ границы с Иркутской областью. Расположен в Тофаларии, в труднодоступной гористой местности на северо-восточных склонах Кинзелюкского хребта, являющегося западным окончанием Агульских Белков (Восточный Саян).
Вытекает из Кинзелюкского озера, находящегося на высоте 1601 м в цирке Кинзелюкского (Двуглавого) пика. Общая высота (каскада) — 328 м, высота свободного падения воды — 90 м. Поток из водопада через небольшое Нижнее Кинзелюкское озеро, лежащее на высоте 1144 м, попадает в реку Кинзелюк, приток Кизира.
Впервые инструментальные измерения водопада (с помощью теодолита) по инициативе и поддержке литератора и краеведа Петра Кравчука произвела в 1989 году экспедиция водно-спортивной туристической секции спортивного клуба «Сталь» при Днепропетровском металлургическом заводе под руководством мастера спорта СССР Бориса Бабицкого. Согласно их измерениям, высота водопада (каскада) составляет 328 метров. Результат измерений зафиксирован в книге Петра Кравчука «Рекорды природы».
В апреле 2020 года правительство Красноярского края присвоило водопаду статус памятника природы краевого значения."
Киселёвские водопады;"Киселёвские водопады — каскад водопадов в южной части полуострова Камчатка.
Находится к западу от города Петропавловска-Камчатского, до которого 41 км по прямой.
Расположены на центральном истоке реки Водопадной. Река образует каскад из 3 крупных водопадов. Несколько выше нижнего водопада реки Водопадной, с южной стороны ущелья, в него с высоты 20 м падает большой ручей. Выше по ручью есть ещё несколько водопадов.
Популярный туристический объект."
Кокколь ;Кокко́ль (каз. Көккөл) — самый большой водопад Восточно-Казахстанской области. Находится в Катон-Карагайском районе, в 23 км к северо-востоку от села Рахмановские Ключи, на территории Катон-Карагайского национального парка, в северной части заказника Рахмановские Ключи.
Кола-де-Кабальо;"Кола-де-Кабальо (исп. Cola de Caballo) — водопад на северо-востоке Мексики, в штате Нуэво-Леон. Высота падения воды — 25 метров.
Водопад находится в муниципалитете Сантьяго штата Нуэво-Леон в 30 километрах к югу от Монтеррея. Является одним из наиболее посещаемых туристических объектов штата. Отличительные черты водопада — его высота и окружающая его пышная растительность. Поток воды обрушивается с горного массива Восточная Сьерра-Мадре, расположенного в национальном парке Кумбрес-де-Монтеррей ниспадая у смотровой площадки, где всегда много посетителей."
Кораб ;Кораб (Пройфел, макед. Корапски водопад, алб. Ujëvara e Korabit) — водопад на западе Северной Македонии рядом границей с Албанией на территории национального парка Маврово. Находится в верхнем течении реки Длабока (бассейн Радики) на склоне горы Кораб. Он образуется весной от таяния снега на восточной стороне пика Мал-Кораб. Интенсивность водопада меняется в зависимости от сезона. Это самый высокий водопад в Северной Македонии и на Балканском полуострове.
